model,cumulative_return,sharpe,max_drawdown
momentum,1.670205414737222,2.6129004265790514,-0.1752034817758898
buy_and_hold,1.590292688439372,1.6511461352209935,-0.3142726161367493
PPO,1.3816204551207485,1.5282398358205815,-0.31427261613673396
arima,1.1589934997017814,1.6225113243836258,-0.187706144267978
random_forest,0.2705999146534672,0.6144798110098322,-0.3146077618978867
