buy_and_hold,arima,momentum,random_forest
0.9999999999999943,1.0,1.0,1.0
0.9988699288055092,1.0,1.0,0.9988699288055148
0.9734998304893153,0.9746011992306821,1.0,0.9734998304893209
0.9866651599050685,0.9746011992306821,1.0,0.9866651599050742
0.9845180246355466,0.9724803169966445,1.0,0.9845180246355523
1.0223754096508022,0.9724803169966445,1.0,0.9845180246355523
1.01452141484913,0.9650096215140241,0.992317895434951,0.9845180246355523
1.0090405695558764,0.9650096215140241,0.9869570023212116,0.9845180246355523
1.0442987908238162,0.9650096215140241,1.0214435724549573,0.9845180246355523
0.9983613967679908,0.9225600585721941,0.9765115507903174,0.9845180246355523
0.9872301955023112,0.9225600585721941,0.9765115507903174,0.9735411696435774
0.9520284777940958,0.9225600585721941,0.9765115507903174,0.9388275622324083
0.9583003729234888,0.9225600585721941,0.9765115507903174,0.945012490679663
0.9528195276302354,0.9172836242749357,0.9765115507903174,0.9396076432978276
0.9554751949372757,0.9172836242749357,0.9765115507903174,0.9422264868745933
0.9659283534862642,0.927318956651687,0.9765115507903174,0.9525347009533514
0.9350209063170927,0.8976469198404279,0.9765115507903174,0.9525347009533514
0.9263193581195563,0.8976469198404279,0.9765115507903174,0.9436701648192678
0.9383546163408242,0.8976469198404279,0.9765115507903174,0.9559308544073184
0.9090857724036563,0.8696478167828412,0.9765115507903174,0.9559308544073184
0.8861453271556059,0.8696478167828412,0.9765115507903174,0.9318082907371481
0.8516781557238058,0.8696478167828412,0.9765115507903174,0.8955650300504387
0.8296417674313437,0.8696478167828412,0.9765115507903174,0.8723931092835264
0.8880664481862307,0.8696478167828412,0.9765115507903174,0.9338284069065711
0.8823030850943561,0.8640039867063731,0.9765115507903174,0.9338284069065711
0.8827551135721501,0.8640039867063731,0.9765115507903174,0.9338284069065711
0.8912871510905138,0.8640039867063731,0.9765115507903174,0.9338284069065711
0.8923042151655504,0.8649899174633601,0.9765115507903174,0.9338284069065711
0.8034241157192858,0.8649899174633601,0.9765115507903174,0.9338284069065711
0.837721776471913,0.8649899174633601,0.9765115507903174,0.9736929433009933
0.8358571590010124,0.8649899174633601,0.9765115507903174,0.971525678554674
0.8517911628432544,0.8649899174633601,0.9765115507903174,0.9900459409323132
0.8662560741326656,0.8649899174633601,0.9765115507903174,0.9900459409323132
0.8690247485591545,0.8649899174633601,0.9765115507903174,0.9932102649232913
0.8604927110407907,0.8649899174633601,0.9765115507903174,0.9932102649232913
0.8475533958639347,0.8649899174633601,0.9765115507903174,0.9932102649232913
0.8648999886992832,0.8649899174633601,0.9765115507903174,1.013537968345388
0.8754661543677202,0.8649899174633601,0.9765115507903174,1.0259199896480984
0.8806644818623525,0.8649899174633601,0.9765115507903174,1.0320116792729612
0.8860888235958816,0.8649899174633601,0.9765115507903174,1.03836822496847
0.8661995705729414,0.8649899174633601,0.9765115507903174,1.03836822496847
0.8697027912758455,0.8649899174633601,0.9804609125743354,1.03836822496847
0.8628093569894855,0.8649899174633601,0.9726895877735254,1.03836822496847
0.8914001582099622,0.8649899174633601,0.9726895877735254,1.03836822496847
0.88315063849022,0.8649899174633601,0.9636877698339379,1.0287585798844567
0.8739970618148896,0.8649899174633601,0.9536994512982311,1.0287585798844567
0.9337213244434347,0.8649899174633601,0.9536994512982311,1.0990584130198247
0.9404452480506219,0.8649899174633601,0.9605672415980488,1.106972963770164
0.9408972765284161,0.8654056780581515,0.961028941786272,1.1075050344088424
0.9676234602779922,0.8899875232251888,0.9883269654149593,1.1075050344088424
0.984179003277201,0.9052147550094214,1.0052367348086284,1.1075050344088424
0.9845180246355466,0.905526575455515,1.0055830099497958,1.1078865380376433
0.96587184992654,0.8883764509203725,0.9865378771855952,1.086903838453597
0.9628771612611541,0.88562203697988,0.9834791134386174,1.086903838453597
0.9573398124081764,0.8805289696936862,0.9778232861328852,1.086903838453597
0.9655893321279186,0.888116600548628,0.9862493145679557,1.0962698279722314
0.9615775793874961,0.884426725269855,0.9821517253974763,1.0962698279722314
0.9650808000904004,0.8876488698794879,0.9857299018562048,1.0962698279722314
0.9629336648208783,0.8856740070542289,0.9835368259621452,1.0962698279722314
0.9658153463668158,0.8883244808460238,0.9864801646620672,1.0962698279722314
0.9720307379364846,0.8940411890244044,0.9928285422501341,1.0962698279722314
0.9665498926432312,0.8890000918125596,0.9872304274679297,1.0962698279722314
0.9773420725505653,0.8989263760132025,0.9982535194617548,1.1085104182413004
0.9844615210758222,0.8989263760132025,1.0055252974262676,1.116585362607283
0.985026556673065,0.8994423183744568,1.0061024226615465,1.1172262312077579
0.9880777488981751,0.9022284071252294,1.009218898932052,1.120686921650322
0.978359136625602,0.8933541985116571,0.9992923448852565,1.109663981722155
0.9886427844954178,0.9027443494864835,1.0097960241673307,1.109663981722155
0.9936150977511528,0.9027443494864835,1.0148747262377842,1.109663981722155
0.9918069838399765,0.9011015960498292,1.013027925484892,1.109663981722155
0.986100124307826,0.8959166555153888,1.007198960608576,1.109663981722155
0.9746864052435249,0.8855467744465079,0.9955410308559441,1.109663981722155
0.9770030511922196,0.8876515522872213,0.9979072443205872,1.1123014439395815
1.010848683467053,0.9184018431795957,1.0324770459137877,1.1123014439395815
1.0222058989716296,0.9184018431795957,1.0440772631428916,1.1247985143829495
1.0267261837495705,0.9184018431795957,1.048694265025122,1.1297724727683698
1.0381399028138714,0.9286113623212101,1.0603521947777539,1.1423317176915555
1.0516442535879702,0.9406909418996552,1.0741454879009174,1.1571914183679983
1.06237992993558,0.9502939549536492,1.0851108673712146,1.1690045695333713
1.053960899536665,0.9427631710323592,1.0765117013655605,1.1690045695333713
1.0631709797717197,0.9510015453892066,1.085918842700605,1.179219963562961
1.1023279466606335,0.9860272719493002,1.1259136215054262,1.179219963562961
1.0795005085320315,0.9656082336660712,1.1025977620001624,1.154800215483642
1.066448186235727,0.9539329914793734,1.089266169065222,1.154800215483642
1.0554299920894956,0.9440772675555374,1.0780122269772852,1.154800215483642
1.0649225901231718,0.9525683527822268,1.087707930929969,1.1651865550200868
1.0663351791162783,0.9538319071314366,1.0891507440181663,1.1651865550200868
1.0732851169623625,0.9600485945295483,1.0962493844120955,1.1651865550200868
1.0805740761667926,0.9665685349714705,1.1036942999471921,1.1730996408636032
1.0962820657701375,0.9806192593346826,1.119738381487943,1.1901526475651343
1.1037970392134642,0.9873413684724783,1.127414147117151,1.19831110041155
1.1057181602440893,0.9890598023874037,1.1293763729170991,1.200396719936198
1.1131201265679675,0.9956808271772626,1.1369367134992514,1.208432489281164
1.1306362300824888,1.0113489011074632,1.1548275957928942,1.2274484320058932
1.1272460164990332,1.0083163706693599,1.1513648443812214,1.2237679269623973
1.1335744151881506,1.0139770941538195,1.157828647016344,1.2237679269623973
1.1241383207141986,1.0055365511010985,1.1481906555871877,1.2135810441091064
1.1236862922364046,1.0051322137093515,1.1477289553989647,1.213093049720925
1.1257204203864781,1.0069517319722134,1.1498066062459684,1.2152890244677421
1.1258334275059265,1.0070528163201502,1.1499220312930243,1.2154110230647874
1.1477568086789403,1.026663179819885,1.1723144904218419,1.2390787508915948
1.1518815685388115,1.0303527585195775,1.1765275046393773,1.2435316996837518
1.1556673070403372,1.0337390841754597,1.1803942437157453,1.2476186526847726
1.1723358571589944,1.0486490254961343,1.19741943815647,1.2656134457489687
1.170527743247818,1.0470316759291458,1.1955726374035778,1.2636614681962424
1.1599050740196568,1.0375297472230887,1.1847226829803363,1.2521936000739748
1.154367725166679,1.0325766141741866,1.179066855674604,1.2462156688187505
1.1561193355181314,1.0341434215672065,1.1808559439039683,1.248106647072954
1.1338569329867718,1.0142298050236611,1.1581172096339831,1.248106647072954
1.1895129393151702,1.0640138463825244,1.2149640453089456,1.248106647072954
1.1817719516329463,1.0640138463825244,1.207057429585626,1.2399843493981966
1.1964628771612544,1.0772408891776215,1.222062685702875,1.2553989289269334
1.1779862131314207,1.0606053392007109,1.203190690509258,1.2360121308273297
1.1462312125663854,1.0320145774666933,1.1707562522865893,1.2360121308273297
1.1464572268052824,1.0322180704327717,1.1709871023807008,1.2360121308273297
1.1341394507853932,1.0211277037814979,1.1584057722516228,1.222732158204345
1.1141371906430044,1.003118576283558,1.1379755389227533,1.2011674320183976
1.0493841111989997,0.9448178415020914,1.1379755389227533,1.1313561997893133
1.0659961577579329,0.9597745745088551,1.1379755389227533,1.1313561997893133
1.078765962255616,0.9597745745088551,1.1379755389227533,1.144908966732618
1.0740196632387782,0.9597745745088551,1.1379755389227533,1.144908966732618
1.0679172787885578,0.9543213098809638,1.1379755389227533,1.144908966732618
1.0345236749915188,0.9244798340005591,1.1379755389227533,1.144908966732618
